['82', '835']
['143', '769', '310', '515', '843', '781', '410', '773', '865', '421', '119', '543', '933', '786', '241', '198', '682', '162', '909', '755', '618', '816', '656', '139', '38', '306', '826', '329', '951', '861', '695', '49']
['61', '93', '448', '561', '772', '522', '326', '757', '346', '323', '324', '595', '207', '641', '215', '946', '429', '20', '304', '434', '363', '352', '372', '534', '705', '615', '478', '449', '497', '116', '401', '742']
['754', '87', '912', '165', '231', '137', '403', '601', '276', '807', '45', '919', '867', '267', '450', '619', '850', '182', '113', '785', '96', '32', '76', '876', '559', '300', '389', '220', '467', '158', '953', '160']
['128', '402', '409', '564', '536', '228', '622', '191', '414', '666', '685', '479', '913', '558', '40', '829', '297', '645', '229', '224', '599', '511', '743', '293', '285', '493', '58', '793', '949', '342', '221', '941']
['482', '462', '422', '818', '135', '956', '863', '761', '359', '765', '384', '718', '884', '955', '277', '677', '232', '703', '210', '598', '173', '15', '542', '483', '330', '506', '237', '46', '587', '246', '245', '709']
['708', '111', '77', '592', '822', '274', '903', '131', '258', '35', '408', '1', '789', '593', '325', '764', '573', '602', '670', '688', '121', '731', '539', '806', '287', '432', '591', '51', '899', '314', '413', '443']
['784', '244', '140', '778', '218', '538', '777', '183', '834', '9', '529', '848', '75', '804', '750', '819', '721', '526', '43', '673', '923', '11', '574', '541', '624', '289', '925', '445', '929', '780', '196', '249']
['583', '468', '332', '394', '489', '453', '905', '392', '2', '631', '469', '273', '68', '266', '620', '900', '369', '361', '749', '751', '227', '236', '866', '521', '579', '345', '589', '950', '475', '199', '290', '418']
['80', '480', '898', '284', '366', '288', '669', '568', '736', '48', '376', '947', '90', '790', '948', '722', '782', '353', '960', '605', '649', '748', '658', '887', '621', '92', '185', '206', '854', '683', '151', '856']
['893', '150', '752', '28', '629', '132', '371', '590', '168', '455', '830', '386', '141', '878', '395', '671', '588', '823', '335', '120', '454', '719', '130', '810', '510', '253', '126', '943', '935', '817', '17', '513']
['675', '768', '874', '62', '312', '686', '811', '952', '10', '114', '910', '388', '514', '611', '106', '294', '415', '553', '857', '179', '476', '642', '7', '567', '64', '724', '569', '225', '407', '343', '961', '187']
['136', '399', '428', '368', '364', '648', '39', '729', '849', '545', '803', '828', '171', '659', '437', '787', '812', '815', '712', '674', '124', '644', '420', '814', '507', '133', '349', '296', '500', '851', '89', '733']
['268', '496', '939', '393', '279', '711', '525', '200', '259', '463', '271', '576', '334', '157', '33', '117', '451', '108', '317', '83', '520', '60', '433', '406', '129', '759', '684', '565', '739', '796', '635', '318']
['348', '614', '155', '112', '841', '439', '582', '586', '247', '585', '248', '907', '201', '746', '832', '788', '57', '212', '753', '770', '239', '153', '209', '442', '915', '932', '897', '555', '604', '868', '344', '382']
['563', '6', '269', '938', '783', '412', '613', '347', '676', '643', '639', '192', '702', '548', '208', '655', '471', '888', '270', '118', '610', '425', '73', '85', '8', '365', '580', '444', '891', '775', '146', '495']
['837', '172', '847', '668', '337', '115', '556', '726', '295', '904', '575', '502', '226', '84', '894', '223', '416', '706', '298', '204', '400', '716', '745', '203', '419', '234', '795', '65', '254', '838', '917', '379']
['552', '252', '195', '142', '211', '797', '292', '627', '517', '390', '501', '607', '875', '70', '727', '928', '537', '91', '882', '397', '164', '100', '424', '940', '338', '465', '145', '831', '381', '603', '571', '958']
['920', '459', '122', '530', '691', '461', '174', '264', '896', '320', '356', '596', '4', '391', '78', '301', '945', '431', '94', '5', '625', '640', '110', '321', '924', '98', '339', '95', '886', '494', '307', '107']
['53', '833', '23', '737', '700', '584', '138', '56', '872', '609', '25', '240', '14', '487', '681', '771', '680', '528', '282', '66', '127', '800', '855', '696', '672', '170', '460', '177', '169', '21', '109', '597']
