['26', '913', '994', '202', '948', '957', '286', '578', '865', '952', '872', '893', '144', '168', '740', '970', '630', '870', '137', '963', '68', '917', '639', '14', '487']
['670', '94', '277', '931', '992', '257', '462', '471', '237', '818', '606', '38', '530', '677', '44', '732', '774', '824', '634', '116', '52', '783', '106', '475', '293']
['528', '384', '134', '833', '322', '258', '995', '464', '756', '618', '18', '275', '150', '439', '265', '876', '858', '941', '13', '539', '345', '424', '291', '543', '352']
['59', '972', '303', '395', '549', '662', '819', '359', '396', '683', '189', '719', '631', '868', '723', '33', '219', '432', '230', '172', '166', '807', '696', '834', '1']
['82', '324', '313', '300', '74', '21', '672', '950', '540', '208', '113', '459', '307', '36', '351', '843', '266', '541', '803', '812', '832', '28', '682', '48', '958']
['200', '341', '935', '805', '890', '381', '801', '317', '97', '617', '67', '590', '829', '884', '647', '519', '835', '262', '334', '813', '4', '454', '613', '409', '436']
['495', '221', '83', '705', '842', '472', '15', '386', '93', '601', '485', '507', '294', '773', '776', '503', '520', '668', '35', '652', '269', '678', '254', '372', '63']
['171', '712', '58', '25', '272', '646', '390', '361', '354', '447', '946', '718', '249', '465', '310', '380', '795', '76', '622', '289', '867', '811', '159', '874', '905']
['260', '928', '412', '17', '9', '669', '505', '7', '111', '714', '785', '238', '924', '22', '301', '164', '213', '280', '692', '373', '287', '222', '927', '244', '199']
['797', '588', '124', '207', '95', '632', '19', '490', '655', '273', '784', '523', '292', '489', '419', '10', '680', '535', '318', '56', '999', '710', '757', '693', '943']
['793', '978', '442', '355', '136', '96', '483', '912', '57', '299', '29', '775', '337', '5', '133', '556', '856', '246', '312', '594', '458', '174', '32', '542', '789']
['953', '499', '196', '814', '667', '346', '211', '466', '600', '348', '243', '245', '229', '836', '823', '66', '648', '135', '123', '587', '763', '845', '910', '187', '599']
['903', '434', '984', '573', '825', '181', '612', '158', '985', '140', '611', '8', '839', '561', '799', '186', '753', '420', '914', '744', '90', '526', '236', '939', '777']
['183', '309', '698', '86', '332', '761', '875', '498', '512', '368', '741', '715', '576', '514', '792', '653', '660', '675', '880', '425', '80', '619', '871', '762', '224']
['894', '690', '153', '226', '302', '826', '81', '114', '343', '333', '911', '934', '593', '857', '169', '604', '656', '965', '502', '362', '69', '616', '808', '821', '921']
['533', '417', '694', '817', '110', '860', '847', '551', '319', '739', '410', '165', '270', '548', '418', '379', '220', '869', '78', '626', '846', '223', '766', '643', '142']
['141', '888', '908', '589', '926', '212', '735', '456', '325', '268', '993', '176', '932', '720', '607', '585', '522', '711', '259', '949', '697', '991', '278', '781', '510']
['737', '149', '71', '253', '706', '443', '61', '901', '45', '70', '375', '990', '592', '178', '34', '323', '100', '367', '771', '329', '904', '944', '838', '598', '271']
['900', '435', '415', '274', '206', '937', '235', '416', '532', '233', '357', '193', '102', '918', '936', '342', '521', '247', '686', '881', '476', '929', '708', '577', '84']
['430', '891', '285', '615', '920', '629', '180', '700', '125', '855', '538', '308', '492', '841', '461', '388', '951', '748', '964', '488', '628', '382', '408', '879', '810']
['228', '448', '827', '743', '751', '338', '167', '691', '482', '263', '633', '831', '173', '892', '909', '760', '117', '897', '786', '727', '866', '886', '848', '638', '602']
['296', '729', '621', '389', '736', '673', '393', '689', '640', '684', '232', '109', '769', '281', '524', '508', '31', '188', '51', '216', '240', '637', '431', '383', '155']
['816', '40', '477', '553', '399', '887', '923', '23', '614', '446', '139', '968', '89', '298', '327', '3', '441', '651', '517', '73', '747', '267', '754', '527', '227']
['779', '862', '120', '264', '163', '721', '128', '516', '336', '750', '707', '806', '582', '728', '844', '356', '460', '433', '234', '919', '725', '658', '107', '758', '385']
['92', '411', '387', '975', '996', '204', '422', '959', '623', '493', '421', '961', '151', '546', '770', '50', '752', '401', '16', '185', '366', '815', '641', '414', '742']
['60', '190', '584', '192', '938', '716', '413', '39', '971', '88', '650', '945', '376', '666', '804', '955', '983', '759', '374', '30', '704', '930', '283', '473', '179']
['99', '363', '560', '782', '583', '340', '778', '854', '306', '674', '962', '575', '251', '481', '568', '738', '676', '463', '398', '162', '864', '453', '570', '347', '484']
['370', '11', '731', '515', '371', '883', '989', '889', '365', '940', '973', '977', '555', '210', '717', '468', '328', '559', '331', '55', '603', '24', '467', '564', '239']
