['297', '103', '553', '935', '554']
['580', '175', '197', '812', '721']
['336', '590', '168', '901', '957']
['696', '576', '743', '829', '960']
['306', '355', '956', '725', '675']
['625', '26', '585', '762', '233']
['803', '483', '595', '229', '451']
['841', '277', '477', '695', '284']
['677', '736', '36', '565', '586']
['706', '125', '613', '8', '269']
['187', '843', '952', '728', '311']
['987', '615', '715', '307', '697']
['109', '876', '520', '827', '549']
['209', '340', '716', '559', '745']
['288', '102', '749', '343', '258']
['27', '251', '328', '120', '500']
['903', '373', '184', '787', '661']
['475', '112', '190', '645', '73']
['121', '862', '189', '389', '43']
['212', '169', '147', '127', '998']
['894', '106', '793', '219', '464']
['786', '423', '583', '211', '271']
['691', '910', '171', '60', '774']
['807', '183', '945', '920', '140']
['742', '283', '11', '210', '761']
['526', '369', '612', '533', '246']
['35', '335', '771', '922', '429']
['741', '170', '911', '509', '92']
['16', '28', '416', '912', '734']
['366', '631', '444', '55', '95']
['574', '400', '89', '569', '79']
['105', '334', '119', '487', '544']
['816', '415', '972', '906', '503']
['623', '222', '953', '434', '646']
['325', '2', '571', '888', '587']
['203', '893', '824', '409', '179']
['567', '577', '217', '899', '597']
['775', '955', '67', '359', '805']
['983', '176', '536', '632', '510']
['881', '704', '707', '507', '151']
['303', '356', '621', '99', '764']
['752', '926', '7', '639', '875']
['573', '237', '390', '984', '931']
['318', '666', '737', '997', '129']
['23', '658', '223', '243', '427']
['680', '921', '1', '490', '818']
['58', '660', '605', '15', '963']
['821', '467', '766', '866', '861']
['133', '433', '463', '414', '432']
['139', '713', '801', '496', '744']
['460', '9', '87', '868', '654']
['694', '858', '421', '410', '822']
['304', '591', '365', '76', '457']
['776', '629', '310', '270', '402']
['790', '206', '98', '50', '681']
['618', '476', '395', '13', '493']
['396', '965', '12', '938', '663']
['900', '981', '4', '81', '372']
['556', '578', '880', '842', '191']
['350', '6', '0', '236', '563']
['794', '436', '756', '150', '382']
['71', '891', '19', '134', '690']
['927', '748', '970', '254', '782']
['46', '324', '582', '374', '34']
['385', '247', '504', '924', '768']
['712', '330', '557', '494', '531']
['440', '342', '916', '708', '468']
['814', '954', '337', '453', '250']
['461', '820', '352', '339', '405']
['508', '564', '420', '996', '287']
['698', '69', '853', '958', '341']
['656', '215', '678', '940', '435']
['261', '153', '290', '739', '142']
['426', '155', '637', '131', '173']
['115', '285', '562', '784', '619']
['80', '907', '154', '375', '450']
['890', '593', '295', '628', '213']
['20', '792', '378', '942', '772']
['918', '543', '665', '961', '516']
['534', '491', '785', '670', '581']
['979', '280', '532', '18', '137']
['401', '719', '411', '331', '198']
['552', '941', '388', '394', '882']
['226', '825', '62', '418', '68']
['61', '989', '978', '116', '407']
['852', '966', '240', '770', '473']
['242', '300', '21', '826', '353']
['322', '570', '810', '802', '773']
['845', '220', '837', '884', '471']
['33', '535', '135', '345', '982']
['789', '638', '317', '864', '703']
['159', '521', '404', '301', '937']
['519', '502', '124', '933', '892']
['358', '936', '870', '808', '977']
['241', '70', '674', '883', '925']
['700', '459', '91', '969', '946']
['281', '895', '905', '515', '146']
['831', '397', '735', '919', '968']
['601', '282', '41', '425', '333']
['22', '10', '669', '445', '442']
['796', '485', '347', '162', '398']
['848', '466', '769', '474', '857']
