['165']
['958']
['404']
['457']
['981']
['878']
['746']
['118', '224', '470', '951', '822', '397', '575', '936', '850', '183']
['220', '884', '758', '705', '289', '423', '975', '105', '573', '902', '414', '740', '228', '83', '505', '37', '671', '210', '167', '481', '452', '170']
['132', '887', '265', '787', '811', '986', '303', '927', '629', '201', '959', '725', '599', '487', '246', '363', '935', '51', '709', '953', '718', '816']
['464', '413', '157', '603', '19', '983', '509', '354', '844', '319', '141', '553', '90', '994', '652', '881', '865', '677', '800', '682', '666', '998']
['583', '954', '552', '39', '968', '949', '268', '59', '559', '471', '486', '74', '296', '511', '823', '298', '409', '237', '514', '151', '223', '624']
['287', '699', '30', '347', '22', '446', '915', '500', '723', '847', '476', '523', '326', '80', '516', '647', '580', '778', '348', '199', '571', '143']
['281', '442', '757', '282', '154', '226', '525', '706', '392', '248', '185', '360', '283', '466', '285', '359', '110', '227', '979', '520', '55', '257']
['56', '290', '791', '688', '689', '412', '94', '619', '714', '421', '393', '808', '469', '987', '52', '240', '568', '416', '533', '995', '20', '594']
['12', '358', '297', '874', '964', '752', '190', '238', '966', '852', '383', '384', '462', '946', '492', '974', '982', '744', '544', '570', '643', '148']
['806', '44', '66', '193', '618', '314', '734', '593', '145', '834', '301', '1', '524', '630', '541', '406', '668', '743', '344', '250', '628', '754']
['133', '31', '403', '612', '362', '909', '316', '748', '202', '641', '323', '41', '159', '862', '741', '751', '456', '617', '669', '441', '483', '146']
['818', '454', '207', '449', '921', '789', '365', '676', '766', '824', '194', '840', '273', '683', '658', '424', '712', '112', '651', '150', '336', '661']
['614', '260', '160', '251', '721', '430', '653', '249', '976', '128', '634', '179', '625', '973', '735', '239', '826', '439', '61', '310', '717', '622']
['366', '607', '519', '443', '606', '482', '510', '613', '236', '13', '899', '437', '854', '379', '722', '77', '337', '644', '144', '989', '244', '3']
['988', '33', '750', '73', '880', '724', '910', '906', '898', '438', '78', '782', '63', '252', '45', '401', '211', '330', '394', '917', '956', '924']
['342', '374', '346', '130', '895', '233', '611', '656', '626', '91', '672', '307', '821', '997', '164', '11', '57', '592', '280', '535', '361', '340']
['355', '801', '838', '990', '907', '395', '26', '299', '241', '961', '166', '504', '377', '335', '70', '95', '564', '996', '970', '566', '152', '234']
['67', '474', '225', '230', '168', '969', '71', '472', '858', '97', '853', '79', '798', '662', '507', '591', '692', '204', '339', '889', '195', '120']
['768', '24', '473', '84', '536', '967', '772', '679', '574', '992', '98', '675', '191', '6', '781', '886', '584', '726', '913', '828', '198', '792']
['569', '16', '547', '431', '432', '875', '562', '554', '485', '186', '763', '200', '636', '343', '349', '103', '425', '286', '846', '773', '372', '684']
['774', '567', '810', '908', '121', '856', '918', '350', '576', '0', '408', '279', '445', '142', '646', '131', '940', '736', '621', '526', '767', '219']
['247', '47', '419', '235', '802', '704', '271', '993', '331', '306', '729', '322', '674', '386', '950', '222', '484', '720', '293', '217', '731', '308']
['820', '817', '495', '418', '901', '999', '147', '117', '827', '761', '549', '883', '149', '172', '288', '733', '897', '715', '749', '332', '382', '229']
['861', '737', '32', '815', '696', '560', '753', '742', '448', '550', '177', '830', '642', '34', '420', '632', '600', '375', '839', '745', '680', '944']
['738', '779', '980', '971', '427', '943', '637', '851', '196', '376', '274', '215', '163', '517', '879', '502', '623', '932', '101', '387', '338', '156']
['857', '888', '937', '799', '81', '885', '657', '440', '829', '555', '46', '269', '275', '92', '214', '54', '76', '174', '701', '124', '527', '390']
['21', '155', '654', '716', '855', '479', '161', '585', '930', '126', '72', '93', '435', '158', '208', '28', '162', '136', '371', '530', '795', '627']
['586', '501', '845', '465', '18', '565', '490', '123', '325', '925', '295', '896', '25', '891', '542', '380', '188', '867']
['764', '205', '213', '548', '463', '27', '334', '813', '212', '134', '407', '952', '648', '670', '860', '29', '50', '231', '357', '491', '588', '931']
['272', '245', '984', '493', '546', '122', '221', '587', '521', '42', '556', '508', '499', '4', '894', '873', '796', '739', '775']
