['541']
['942']
['795']
['774']
['450']
['977']
['688']
['641']
['321']
['459']
['247', '638', '727', '92', '25', '154', '54', '726', '467', '183', '135', '600', '296', '177', '588', '724', '72', '513', '171', '284', '678', '731', '441', '40', '267']
['744', '881', '953', '496', '93', '675', '74', '99', '874', '381', '777', '813', '389', '838', '159', '343', '699', '698', '265', '184', '407', '314', '955', '464', '577']
['324', '334', '9', '610', '988', '161', '408', '706', '725', '713', '585', '126', '73', '514', '992', '230', '47', '157', '446', '961', '172', '624', '243', '632', '195']
['306', '396', '685', '729', '803', '22', '756', '133', '605', '740', '16', '155', '497', '839', '494', '749', '384', '712', '287', '680', '919', '351', '197', '990', '923']
['941', '720', '552', '258', '53', '814', '789', '871', '862', '859', '7', '137', '671', '380', '572', '525', '642', '646', '69', '833', '107', '38', '62', '921', '975']
['17', '732', '547', '168', '373', '280', '457', '310', '868', '194', '690', '539', '574', '398', '635', '976', '390', '218', '643', '127', '567', '538', '508', '477', '388']
['717', '621', '935', '401', '49', '366', '498', '950', '654', '146', '130', '704', '764', '246', '97', '421', '433', '32', '551', '212', '662', '35', '474', '424', '192']
['202', '216', '872', '406', '904', '582', '964', '245', '404', '815', '820', '911', '535', '23', '882', '387', '241', '109', '298', '123', '18', '962', '429', '967', '119']
['644', '787', '165', '592', '253', '269', '866', '234', '141', '659', '511', '79', '954', '490', '620', '139', '637', '301', '594', '14', '509', '985', '131', '836', '276']
['460', '517', '56', '336', '752', '48', '472', '817', '701', '29', '248', '242', '392', '350', '13', '776', '50', '300', '385', '599', '664', '924', '473', '693', '214']
['423', '331', '771', '1', '959', '707', '796', '983', '670', '608', '420', '755', '299', '902', '19', '303', '228', '84', '425', '530', '984', '454', '158', '220', '885']
['934', '182', '257', '978', '191', '708', '261', '338', '619', '59', '78', '507', '68', '823', '750', '369', '504', '500', '686', '20', '164', '900', '358', '64', '297']
['339', '277', '995', '317', '899', '57', '235', '719', '611', '758', '554', '865', '827', '958', '545', '484', '873', '43', '51', '972', '798', '864', '586', '125', '738']
['668', '559', '566', '888', '6', '782', '82', '495', '819', '215', '451', '870', '391', '930', '468', '999', '223', '647', '503', '653', '263', '684', '993', '354', '926']
['365', '665', '4', '316', '745', '332', '604', '264', '542', '522', '702', '356', '520', '101', '830', '560', '847', '807', '120', '630', '583', '129', '849', '206', '806']
['753', '519', '968', '722', '455', '700', '544', '786', '623', '294', '829', '461', '940', '691', '11', '770', '203', '355', '555', '502', '910', '198', '810', '413', '613']
['840', '411', '341', '435', '767', '213', '742', '442', '533', '5', '434', '353', '845', '763', '629', '489', '540', '857', '0', '163', '226', '627', '110', '315', '932']
['792', '506', '493', '122', '895', '860', '784', '557', '626', '861', '515', '15', '878', '661', '479', '463', '973', '61', '769', '363', '773', '395', '333', '337', '867']
['695', '483', '140', '618', '563', '149', '239', '105', '593', '438', '229', '427', '102', '917', '603', '417', '818', '116', '936', '181', '652', '728', '362', '614', '103']
['721', '785', '91', '289', '58', '537', '791', '416', '927', '471', '87', '947', '419', '201', '281', '207', '39', '897', '227', '193', '550', '824', '651', '403', '345']
['344', '448', '329', '980', '305', '418', '905', '991', '335', '273', '330', '531', '31', '491', '816', '879', '913', '286', '598', '703', '24', '834', '676', '831', '869']
['835', '447', '327', '660', '445', '710', '760', '793', '152', '304', '210', '797', '581', '673', '657', '986', '10', '308', '196', '946', '65', '996', '655', '288', '697']
['254', '580', '606', '75', '279', '548', '883', '589', '402', '259', '348', '901', '342', '602', '521', '466', '217', '801', '66', '679', '378', '34', '422', '645', '219']
['469', '841', '349', '8', '323', '826', '794', '430', '734', '151', '399', '639', '94', '359', '956', '319', '322', '607', '320', '799', '394', '397', '313', '124', '346']
['564', '33', '609', '960', '716', '81', '134', '221', '150', '256', '475', '562', '553', '45', '188', '628', '85', '499', '41', '681', '658', '672', '488', '622', '312']
['890', '775', '937', '86', '790', '21', '667', '444', '383', '410', '374', '449', '224', '26', '907']
