['42']
['926']
['528']
['810']
['884']
['367']
['455']
['60']
['671']
['922']
['360']
['134', '335', '23', '505', '577', '871', '812', '185', '286', '206', '282', '684', '578', '397', '666', '728', '848', '25', '536', '104']
['262', '533', '663', '97', '834', '654', '949', '366', '977', '241', '290', '516', '305', '657', '7', '403', '786', '642', '184', '569', '105', '944', '678', '330', '20', '774', '446', '175', '829', '165', '645', '567', '600', '915', '256']
['12', '43', '616', '940', '408', '200', '0', '584', '412', '700', '212', '893', '935', '704', '113', '257', '474', '552', '255', '246', '909', '713', '236', '749', '63', '26', '232', '111', '557', '583', '387', '744', '914', '714', '572']
['213', '169', '196', '171', '285', '404', '879', '844', '52', '371', '312', '838', '664', '219', '440', '381', '779', '341', '681', '358', '410', '163', '239', '61', '269', '896', '929', '849', '802', '338', '443', '856', '948', '419', '882']
['37', '722', '205', '571', '971', '946', '903', '431', '448', '638', '969', '870', '777', '218', '40', '537', '198', '885', '696', '548', '765', '742', '353', '566', '8', '878', '534', '542', '895', '172', '751', '653', '695', '831', '886']
['993', '716', '362', '325', '146', '303', '310', '809', '458', '703', '956', '51', '855', '3', '307', '420', '902', '394', '155', '125', '541', '308', '753', '608', '908', '9', '85', '462', '244', '738', '433', '973', '66', '789', '98']
['321', '191', '799', '731', '587', '329', '14', '680', '559', '605', '828', '965', '230', '207', '823', '415', '574', '233', '359', '906', '602', '857', '493', '120', '841', '881', '868', '766', '936', '406', '499', '606', '176', '227', '274']
['157', '517', '47', '344', '467', '119', '451', '900', '194', '806', '220', '226', '872', '280', '389', '833', '315', '589', '115', '865', '588', '932', '292', '79', '740', '300', '18', '439', '636', '237', '144', '461', '437', '615', '560']
['229', '479', '477', '951', '248', '999', '622', '694', '183', '568', '519', '132', '50', '407', '565', '877', '656', '609', '100', '413', '593', '769', '911', '398', '54', '223', '562', '701', '836', '545', '843', '438', '904', '947', '619']
['278', '485', '667', '376', '46', '916', '639', '668', '192', '772', '682', '62', '204', '954', '658', '453', '441', '464', '348', '128', '411', '449', '693', '995', '429', '332', '245', '832', '395', '761', '797', '715', '508', '379', '556']
['649', '354', '350', '370', '16', '813', '267', '476', '924', '263', '117', '234', '316', '181', '351', '323', '24', '582', '963', '130', '145', '456', '337', '854', '126', '418', '826', '580', '876', '27', '319', '225', '827', '755', '686']
['869', '124', '579', '94', '794', '409', '167', '190', '978', '432', '291', '151', '964', '158', '11', '252', '90', '575', '968', '44', '618', '858', '261', '258', '30', '143', '76', '782', '655', '22', '970', '604', '776', '989', '613']
['399', '222', '82', '979', '116', '301', '478', '70', '314', '598', '780', '767', '748', '563', '506', '336', '102', '889', '150', '538', '235', '108', '217', '36']
