['179', '16', '669', '627', '689', '176', '996', '607', '210', '258']
['119', '634', '52', '260', '776', '943', '941', '625', '238', '266']
['471', '74', '21', '755', '769', '212', '327', '796', '468', '784']
['940', '890', '20', '158', '967', '851', '483', '873', '525', '869']
['867', '382', '197', '410', '31', '133', '408', '719', '518', '528']
['990', '420', '508', '664', '844', '416', '346', '809', '456', '70']
['757', '38', '229', '756', '484', '177', '140', '321', '60', '305']
['180', '429', '148', '27', '672', '143', '329', '434', '839', '249']
['739', '278', '527', '259', '146', '697', '639', '111', '767', '492']
['760', '233', '748', '345', '904', '107', '390', '441', '586', '604']
['864', '636', '335', '922', '747', '560', '681', '130', '718', '592']
['203', '13', '144', '79', '46', '338', '220', '402', '593', '992']
['921', '80', '54', '246', '453', '606', '947', '268', '643', '622']
['407', '84', '427', '535', '891', '172', '65', '761', '617', '663']
['53', '241', '425', '6', '980', '419', '90', '985', '138', '611']
['817', '157', '758', '759', '330', '263', '854', '465', '807', '812']
['151', '626', '304', '466', '237', '494', '512', '97', '667', '162']
['641', '274', '47', '450', '141', '949', '42', '939', '693', '868']
['698', '114', '707', '989', '930', '463', '701', '293', '530', '122']
['596', '670', '629', '551', '743', '447', '430', '405', '642', '207']
['191', '903', '440', '442', '205', '35', '795', '887', '26', '671']
['155', '709', '833', '194', '786', '831', '149', '4', '72', '316']
['550', '418', '645', '848', '156', '549', '605', '113', '918', '732']
['958', '344', '262', '271', '96', '599', '275', '963', '849', '952']
['877', '309', '561', '723', '806', '731', '821', '856', '267', '902']
['876', '502', '337', '609', '310', '553', '557', '214', '850', '733']
['303', '387', '231', '612', '460', '3', '77', '307', '966', '962']
['616', '881', '118', '328', '480', '195', '123', '727', '325', '297']
['250', '62', '439', '422', '928', '954', '326', '554', '583', '232']
['93', '283', '10', '496', '166', '490', '860', '571', '413', '169']
['221', '915', '687', '594', '632', '302', '50', '282', '572', '720']
['504', '7', '137', '5', '752', '68', '882', '467', '588', '973']
['469', '513', '938', '822', '269', '374', '665', '363', '348', '183']
['570', '981', '802', '331', '965', '332', '503', '75', '489', '506']
['142', '234', '540', '835', '163', '532', '564', '685', '371', '347']
['845', '749', '975', '598', '563', '823', '300', '597', '279', '773']
['772', '464', '805', '86', '108', '511', '399', '995', '227', '0']
['721', '608', '368', '956', '225', '781', '803', '951', '832', '446']
['997', '696', '924', '189', '841', '397', '318', '892', '883', '458']
['314', '64', '978', '167', '766', '690', '522', '261', '276', '779']
['190', '740', '139', '377', '820', '515', '406', '893', '713', '573']
['116', '125', '370', '830', '272', '389', '889', '99', '312', '102']
['173', '288', '36', '613', '308', '649', '349', '768', '136', '937']
['976', '894', '880', '974', '582', '222', '735', '644', '926', '2']
['736', '753', '323', '239', '24', '491', '750', '810', '857', '601']
['945', '356', '193', '575', '568', '746', '863', '289', '322', '673']
['614', '843', '103', '585', '619', '919', '791', '964', '702', '247']
['991', '862', '105', '165', '18', '630', '445', '153', '640', '313']
['224', '711', '216', '853', '457', '200', '780', '534', '906', '59']
['178', '219', '369', '654', '186', '57', '67', '507', '256', '686']
['299', '694', '192', '674', '846', '798', '983', '763', '542', '71']
['361', '253', '578', '900', '120', '826', '292', '437', '871', '577']
['538', '455', '145', '884', '320', '516', '770', '384', '295', '960']
['929', '351', '481', '409', '403', '360', '988', '170', '692', '764']
['127', '132', '117', '524', '251', '9', '55', '705', '984', '499']
['381', '81', '777', '688', '797', '336', '37', '657', '45', '154']
['969', '412', '838', '350', '357', '174', '804', '476', '452', '244']
['531', '301', '432', '41', '751', '874', '879', '729', '426', '198']
['660', '121', '398', '355', '914', '49', '211', '653', '58', '25']
['591', '223', '358', '373', '742', '955', '104', '252', '449', '659']
['340', '473', '695', '110', '953', '994', '621', '836', '431', '66']
['106', '87', '15', '181', '182', '152', '294', '559', '201', '519']
['651', '364', '520', '987', '404', '243', '837', '715', '814', '230']
