['18D668', '14A3E7', 'B13536', 'CD374A', '5248A9', '118FE2', 'BCD2F5', '219F75', '539972', 'A89402', 'A4FCD1', '97D861', '8E8C76', 'A0DDCD', '1330B3', '1656DC', '26B294', '1600AD', 'E479C8', '9C0B9D']
['6C5208', '78E144', '05473A', 'BE5B1D', 'BB986B', '77B9A5', 'EB9D60', '1FBE40', 'D9180C', '511040', '49EB71', '9B09E5', '7848BA', '1866E0', '189812', 'BC38A8', '2C02B7', '38EA17', '848C87', '177A03']
['4C0FCD', '19EFAF', 'E15D93', '3D046E', '81A856', 'D6F426', 'E191B0', '8806E7', 'C4882F', 'EC35B5', '920715', '917501', '31B801', 'B4BD91', 'E4C3BA', '4A32EA', 'A4EAD9', '415552', '05F2DC', '26DA83']
['BA7ED0', 'C8F1A7', '035E05', '9330C0', 'B4257C', 'CC9A13', '56B4C2', '90E78E', '565E46', '601CA7', '82BD08', 'FCB503', '0AC7A0', '4D74EB', '5C016B', '33ABEE', '29BFBC', 'E8A38A', '7D4045', '58ED2B']
['865328', '4430C2', '0C3AFF', '25B295', 'AB96B9', '82F466', '4E8355', '34E9FE', '2215AE', 'C748A2', 'E3583F', '8963E1', 'D8A834', 'DCB902', '992AEE', '3D830C', 'CD5322', '7AADBC', '6DCBC8', '01E026']
['2EDC82', '99E133', '6833E8', 'B56D74', '7FE1F2', '45CE10', '5C0D69', '0FC6EE', 'AF83FA', '1986A0', '364B78', '292CB3', '0231A4', '1350AD', '187923', '0D6A28', '4EBF50', '26C6B9', 'FE7E47', '39CAB7']
['69FD70', '51197D', '882258', '0AFD91', 'B85F11', '273165', 'B0F05D', '7CC3A7', '5C91EE', 'C5416A', '369765', '5F88E7', '4DBE20', '1D0C35', '80F9BC', 'EC2626', '8D43AD', 'CC08F5', '1D216B', 'CE0D10']
['0CFFC9', '6246E1', 'B2CB4D', '160ED4', '7F8E1D', '7C730C', '244528', '4BBAFA', '1B06C5', '83752D', 'D98FB6', '0C4437', 'D50881', 'EED7BB', '1743CD', 'C3678B', 'D8492F', 'B00B7F', '04279E', '88FFF8']
['42EE34', '1C3933', '3E7F60', 'E277CB', 'B78EF9', 'D049CD', '068D28', 'F9EB1F', '5A681E', '74ADA7', 'E81232', '0525B9', '36FCBF', 'EE9200', '943005', '8EC8D8', '2D2248', 'F8B91A', '9D6554', 'E4F6EF']
['3EF396', 'CB5EDA', '0E6FA7', 'EEF23E', '31B17E', 'C07CCC', 'FF3177', 'EB3718', 'DDB7C8', '5BC875', 'C96CD6', '93D432', '2B8F4B', 'BB9072', '83ACF7', '4BC7D0', 'A5F27A', '15AA36', '82B105', 'C60FE7']
['5ADC6D', 'D8849E', 'F4C13E', 'F448AE', 'D2EB79', '7647CD', '92C42A', 'C1CAB9', '52FB79', '2B8E0B', '40C7FF', '503A55', '8883AC', '30EA83', 'F32B0B', '8DF985', 'C69699', 'C0EA59', '5B4152', '5D5C76']
['F85131', 'B8B01F', '846154', '3CB50A', 'EF37A6', '9C4CA5', '73271F', '3F75A9', '5E2607', '52BFE5', 'D0E5BE', '34ACF3', '5A5DE8', 'FCD63D', '0E78AA', '94C20E', '7334F9', 'A911EF', '9C5DCF', 'EB7E6A']
['F2B7FD', '9DF876', 'E492E0', '09944C', '420711', '5D4F2F', '6C1A62', '380FF7', '47063A', '823C51', 'F4EDF8', '593AF4', '5451FF', '893D61', '770A4C', 'B0C2D3', '935873', '6E7E64', 'F37211', '026256']
['D78522', 'D78532', '255208', '9FCB42', '3E6399', 'A1D29E', '398310', 'F61AD7', '833C34', 'FD1DAC', '9C4F00', 'C9EF6D', '81A0D3', 'F7F9CB', '400D20', 'A4F4BB', '2DE42A', '30C157', '43FE78', 'B2C27D']
['38515C', 'D83AF7', '57FCD8', '3FAE1E', 'F3EDD7', '99392B', '66F8EA', '718436', 'DE6241', 'C34593', '5A3E90', '2D4D61', '326662', 'B32674', 'E0044F', '5ABFA9', '94AED5', 'F28C7F', 'C2A74D', '9923B4']
